"filename", "language", "JavaScript", "XML", "JSON", "JSON with Comments", "Markdown", "JavaScript JSX", "TypeScript", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\th.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\tk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\tr.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\tt.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ug.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\uk.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ur.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\uz.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\vi.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\zh-cn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\zh.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\package-lock.json", "JSON", 0, 0, 4663, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4664
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\package.json", "JSON", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\sample\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 3, 1, 107
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\sample\script.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\sample\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 408, 0, 0, 28, 79, 515
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\src\ckeditor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 6, 7, 117
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\tsconfig.json", "JSON with Comments", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
